TextBlob_Analysis Biden Inflation,TextBlob_Analysis Trump Inflation,TextBlob_Analysis Biden Immigration,TextBlob_Analysis Trump Immigration,variable,value
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.009762807
Negative,Positive,Negative,Positive,Polarity:  Biden Inflation,-3.36572e-4
Positive,Negative,Positive,Positive,Polarity:  Biden Inflation,0.081755732
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.015594612
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.076699134
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.084280303
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.050030804
Negative,Positive,Negative,Negative,Polarity:  Biden Inflation,-0.075640244
Positive,Neutral,Positive,Negative,Polarity:  Biden Inflation,0.066130221
Positive,Negative,Negative,Positive,Polarity:  Biden Inflation,0.157928666
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.088569212
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.070451436
Negative,Positive,Positive,Positive,Polarity:  Biden Inflation,-0.027410808
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.055289155
Negative,Positive,Positive,Negative,Polarity:  Biden Inflation,-0.104018308
Negative,Positive,Negative,Positive,Polarity:  Biden Inflation,-0.10984127
Negative,Negative,Negative,Positive,Polarity:  Biden Inflation,-0.057908324
Positive,Negative,Negative,Positive,Polarity:  Biden Inflation,0.107142857
Positive,Positive,Negative,Negative,Polarity:  Biden Inflation,0.137412587
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.053774351
Negative,Positive,Negative,Positive,Polarity:  Biden Inflation,-0.074255952
Positive,Negative,Negative,Positive,Polarity:  Biden Inflation,0.202743902
Negative,Positive,Positive,Positive,Polarity:  Biden Inflation,-0.03702234
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.082340136
Positive,Positive,Neutral,Positive,Polarity:  Biden Inflation,0.252142857
Positive,Positive,Neutral,Positive,Polarity:  Biden Inflation,0.092443482
Positive,Negative,Positive,Positive,Polarity:  Biden Inflation,0.070640757
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.152541106
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.058675689
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.225
Negative,Positive,Positive,Positive,Polarity:  Biden Inflation,-0.030409524
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.124686647
Positive,Neutral,Positive,Positive,Polarity:  Biden Inflation,0.080508475
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.07558527
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.005407913
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.068958667
Negative,Negative,Positive,Positive,Polarity:  Biden Inflation,-0.037777778
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.008090037
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.112188209
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.038521768
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.030089897
Positive,Positive,Neutral,Positive,Polarity:  Biden Inflation,0.048039451
Negative,Positive,Negative,Positive,Polarity:  Biden Inflation,-0.116329966
Positive,Positive,Neutral,Positive,Polarity:  Biden Inflation,5.49e-5
Negative,Positive,Positive,Negative,Polarity:  Biden Inflation,-0.014705882
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.112901335
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.081900039
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.165322414
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.224583333
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.050439227
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.093242798
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.110466437
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.023479695
Negative,Positive,Positive,Positive,Polarity:  Biden Inflation,-0.006363636
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.079338843
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.102188552
Negative,Positive,Negative,Negative,Polarity:  Biden Inflation,-0.023892774
Negative,Negative,Negative,Positive,Polarity:  Biden Inflation,-0.047924901
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.063055556
Positive,Negative,Negative,Positive,Polarity:  Biden Inflation,0.081465517
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.046287879
Negative,Positive,Negative,Positive,Polarity:  Biden Inflation,-0.001439164
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.1203125
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.01525974
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.152232143
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.178409091
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.101587302
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.022586291
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.079961325
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.233333333
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.080682495
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.09829932
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.052159993
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.123809524
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.151785714
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.1
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.03452381
Positive,Positive,Neutral,Neutral,Polarity:  Biden Inflation,0.024507268
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.148015873
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.292045455
Negative,Positive,Negative,Neutral,Polarity:  Biden Inflation,-0.093452381
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.060325235
Positive,Negative,Neutral,Positive,Polarity:  Biden Inflation,0.025468685
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.228373016
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.085962697
Positive,Negative,Negative,Positive,Polarity:  Biden Inflation,0.14375
Negative,Positive,Positive,Positive,Polarity:  Biden Inflation,-0.023611111
Negative,Positive,Positive,Positive,Polarity:  Biden Inflation,-0.010353535
Positive,Negative,Positive,Positive,Polarity:  Biden Inflation,0.039317889
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.021333333
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.023863636
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.012820513
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.110277778
Negative,Positive,Negative,Positive,Polarity:  Biden Inflation,-0.007745098
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.031554939
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.111891878
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.224107143
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.106547619
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.03274395
Negative,Positive,Negative,Positive,Polarity:  Biden Inflation,-0.001654777
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.07985488
Positive,Positive,Negative,Negative,Polarity:  Biden Inflation,0.125998413
Negative,Positive,Negative,Positive,Polarity:  Biden Inflation,-0.042823007
Positive,Negative,Positive,Positive,Polarity:  Biden Inflation,0.135249902
Positive,Negative,Negative,Positive,Polarity:  Biden Inflation,0.102186283
Positive,Positive,Neutral,Positive,Polarity:  Biden Inflation,0.045087634
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.068647261
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.021134153
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.037239709
Positive,Negative,Positive,Positive,Polarity:  Biden Inflation,0.166091825
Positive,Negative,Positive,Positive,Polarity:  Biden Inflation,0.03676236
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.102494975
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.066666667
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.097572486
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.02503581
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.069938258
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.148893329
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.053897407
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.032763495
Negative,Positive,Positive,Positive,Polarity:  Biden Inflation,-0.052380952
Negative,Positive,Positive,Positive,Polarity:  Biden Inflation,-0.2
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.022113095
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.005503935
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.132201
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.129580201
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.113541186
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.039252361
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.054802855
Negative,Positive,Negative,Positive,Polarity:  Biden Inflation,-0.111674603
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.040622896
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.10630854000000001
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.158400673
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.067799539
Negative,Positive,Negative,Positive,Polarity:  Biden Inflation,-0.048189438
Negative,Positive,Negative,Positive,Polarity:  Biden Inflation,-0.012037962
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.0054106
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.088633595
Positive,Negative,Positive,Positive,Polarity:  Biden Inflation,0.016843328
Negative,Positive,Positive,Positive,Polarity:  Biden Inflation,-0.043784388
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.062684934
Negative,Positive,Positive,Negative,Polarity:  Biden Inflation,-0.047213203
Positive,Positive,Negative,Negative,Polarity:  Biden Inflation,0.023676658
Positive,Positive,Negative,Negative,Polarity:  Biden Inflation,0.154545455
Negative,Positive,Neutral,Positive,Polarity:  Biden Inflation,-0.055555556
Negative,Positive,Positive,Positive,Polarity:  Biden Inflation,-0.075530303
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.108571429
Positive,Positive,Negative,Negative,Polarity:  Biden Inflation,0.094444444
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.058521212
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.165457852
Negative,Positive,Negative,Positive,Polarity:  Biden Inflation,-0.14122685200000001
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.269188312
Positive,Positive,Neutral,Positive,Polarity:  Biden Inflation,0.073207399
Positive,Positive,Neutral,Positive,Polarity:  Biden Inflation,0.133435738
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.028780973
Positive,Positive,Neutral,Positive,Polarity:  Biden Inflation,0.02804731
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.12379672
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.046923077
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.211451049
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.161958874
Negative,NA,Neutral,Positive,Polarity:  Biden Inflation,-0.010912698
Positive,NA,Negative,Negative,Polarity:  Biden Inflation,0.021660732
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.008205782
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.098326286
Negative,NA,Neutral,Positive,Polarity:  Biden Inflation,-0.108333333
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.035281385
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.050514801
Negative,NA,Neutral,Negative,Polarity:  Biden Inflation,-0.067539683
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.008608815
Positive,NA,Negative,Negative,Polarity:  Biden Inflation,0.037812912
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.013238095
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.009750567
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.074138207
Positive,NA,Negative,Negative,Polarity:  Biden Inflation,0.227272727
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.015039683
Positive,NA,Negative,Negative,Polarity:  Biden Inflation,0.007855673
Negative,NA,Negative,Positive,Polarity:  Biden Inflation,-0.045192166
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.012987013
Negative,NA,Positive,Negative,Polarity:  Biden Inflation,-0.009864603
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.03474956
Positive,NA,Negative,Negative,Polarity:  Biden Inflation,0.013933395
Negative,NA,Positive,Negative,Polarity:  Biden Inflation,-0.016666667
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.064711064
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.02671169
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.05872454
Positive,NA,Negative,Negative,Polarity:  Biden Inflation,0.03030303
Positive,NA,Neutral,Neutral,Polarity:  Biden Inflation,0.018083004
Negative,NA,Negative,Negative,Polarity:  Biden Inflation,-0.00393918
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.045525218
Positive,NA,Positive,Neutral,Polarity:  Biden Inflation,0.127704158
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.126223229
Negative,NA,Positive,Negative,Polarity:  Biden Inflation,-2.29978e-4
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.080448718
Negative,NA,Negative,Negative,Polarity:  Biden Inflation,-0.056996435
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.014663781
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.028711891
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.056757346
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.010611639
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.027314969
Positive,NA,Negative,Negative,Polarity:  Biden Inflation,0.067673335
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.050406664
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.156130536
Negative,NA,Positive,Negative,Polarity:  Biden Inflation,-0.1375
Negative,NA,Positive,Neutral,Polarity:  Biden Inflation,-0.288888889
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.086281179
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.045892857
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.053020833
Positive,NA,Negative,Neutral,Polarity:  Biden Inflation,0.046897547
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.047807518
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.033336787
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.16114452
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.057142857
Positive,NA,Positive,Neutral,Polarity:  Biden Inflation,0.075
Negative,NA,Positive,Neutral,Polarity:  Biden Inflation,-0.007294029
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.1
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.188238522
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.038291562
Positive,NA,Negative,Negative,Polarity:  Biden Inflation,0.055668896
Positive,NA,Negative,Negative,Polarity:  Biden Inflation,0.084268147
Negative,NA,Positive,Negative,Polarity:  Biden Inflation,-0.032455908
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.043544864
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.083093865
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.004966482
Positive,NA,Negative,Negative,Polarity:  Biden Inflation,0.090914994
Positive,NA,Positive,Neutral,Polarity:  Biden Inflation,0.177138945
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.14092682
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.041530671
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.134884175
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.079856005
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,5.95238e-4
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.28920068
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.015515306
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.005
Positive,NA,Neutral,Positive,Polarity:  Biden Inflation,0.0375
Negative,NA,Neutral,Negative,Polarity:  Biden Inflation,-0.007662338
Negative,NA,Neutral,Negative,Polarity:  Biden Inflation,-0.012921245
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.008014528
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.30026455
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.060869565
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.082898429
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.402040816
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.107869848
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.088720615
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.078475351
Negative,NA,Negative,Negative,Polarity:  Biden Inflation,-0.116239669
Negative,NA,Negative,Positive,Polarity:  Biden Inflation,-0.028571429
Positive,NA,Positive,Neutral,Polarity:  Biden Inflation,0.144078947
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.072072511
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.192210954
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.088636364
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.137130736
Positive,NA,Negative,Negative,Polarity:  Biden Inflation,0.044962722
Negative,NA,Negative,Neutral,Polarity:  Biden Inflation,-0.094642857
Negative,NA,Positive,Neutral,Polarity:  Biden Inflation,-0.06
Negative,NA,Neutral,Negative,Polarity:  Biden Inflation,-0.074925595
Positive,NA,Neutral,Negative,Polarity:  Biden Inflation,0.111548626
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.050867672
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.111082486
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.069583333
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.076950069
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.161662615
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.127272727
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.03030303
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.027140324
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.128525641
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.058333333
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.3
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.082539683
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.072222222
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.121086808
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.225641026
Negative,NA,Negative,Positive,Polarity:  Biden Inflation,-0.025
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.050999177
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.12736956
Positive,NA,Positive,Neutral,Polarity:  Biden Inflation,0.12266441
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.224074074
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.077447501
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.005079663
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.045517677
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.054823105
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.033831328
Neutral,NA,Positive,Positive,Polarity:  Biden Inflation,0
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.07471263
Negative,NA,Positive,Negative,Polarity:  Biden Inflation,-0.005947078
Negative,NA,Negative,Positive,Polarity:  Biden Inflation,-0.073809524
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.358333333
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,0.021322923
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.102304822
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.035157699
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.066594124
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.006169764
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.099616366
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.004977833
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.013621257
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.017200577
Positive,NA,Negative,Negative,Polarity:  Biden Inflation,0.028199217
Negative,NA,Negative,Positive,Polarity:  Biden Inflation,-0.01796875
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.072606516
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.023690476
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.013087121
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.040863243
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.019853064
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.011527778
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.071217074
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.098333333
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.19
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.076617051
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.027177467
Positive,NA,Negative,Negative,Polarity:  Biden Inflation,0.114084743
Positive,NA,Negative,Neutral,Polarity:  Biden Inflation,0.02192678
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.075947111
Negative,NA,Positive,Neutral,Polarity:  Biden Inflation,-0.210909091
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.087291667
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,2.37e-5
Positive,NA,Positive,Neutral,Polarity:  Biden Inflation,0.09131087
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.3125
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.071428571
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.09842033
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.058333333
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.207142857
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.114660494
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.133333333
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.107596899
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.111986308
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.098608105
Negative,NA,Positive,Positive,Polarity:  Biden Inflation,-0.1376443
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.044859307
Neutral,NA,Negative,Positive,Polarity:  Biden Inflation,0
Negative,NA,Negative,Negative,Polarity:  Biden Inflation,-0.038888889
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.084750353
Positive,NA,Positive,Positive,Polarity:  Biden Inflation,0.049140963
Negative,NA,Negative,Positive,Polarity:  Biden Inflation,-0.007142857
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.114262946
Positive,NA,Negative,Negative,Polarity:  Biden Inflation,0.025513101
Positive,NA,Positive,Negative,Polarity:  Biden Inflation,5.9e-5
Negative,NA,Positive,Negative,Polarity:  Biden Inflation,-0.034803922
Positive,NA,Negative,Positive,Polarity:  Biden Inflation,0.058071429
